Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
28,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
29,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
30,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
31,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
32,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
33,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
34,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
35,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
36,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
37,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
