Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
33,All Japan Pro Wrestling,"Osaka, Japan",EDION Arena Osaka #2,2023-07-23,AJPW Summer Action Series 2023 - Tag 3,920,https://www.cagematch.net/?id=1&nr=371686
34,All Japan Pro Wrestling,"Matsue, Shimane, Japan",Kunibiki Messe Exhibition Hall,2023-07-22,AJPW Summer Action Series 2023 - Tag 2,937,https://www.cagematch.net/?id=1&nr=371489
35,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-07-16,AJPW Summer Action Series 2023 - Tag 1,324,https://www.cagematch.net/?id=1&nr=371101
36,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-07-02,AJPW Dynamite Series 2023 - Tag 5,"1,047",https://www.cagematch.net/?id=1&nr=369899
37,All Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nagoya International Conference Hall,2023-08-27,AJPW Royal Road Tournament 2023 - Tag 4,921,https://www.cagematch.net/?id=1&nr=374441
38,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-08-22,AJPW Royal Road Tournament 2023 - Tag 3,325,https://www.cagematch.net/?id=1&nr=374136
39,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-08-21,AJPW Royal Road Tournament 2023 - Tag 2,322,https://www.cagematch.net/?id=1&nr=374135
40,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-08-19,AJPW Royal Road Tournament 2023 - Tag 1,936,https://www.cagematch.net/?id=1&nr=373852
41,All Japan Pro Wrestling,"Yokohama, Kanagawa, Japan",Hodogaya Public Hall,2023-08-12,AJPW Summer Action Series 2023 - Tag 5,327,https://www.cagematch.net/?id=1&nr=373712
42,All Japan Pro Wrestling,"Chiba, Japan",Makuhari Messe International Exhibition Hall 7,2023-08-06,AJPW Summer Action Series 2023 - Tag 4,"1,038",https://www.cagematch.net/?id=1&nr=372700
43,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-09-23,AJPW Giant Series 2023 - Tag 5,"1,161",https://www.cagematch.net/?id=1&nr=376514
44,All Japan Pro Wrestling,"Yokohama, Kanagawa, Japan",BRANCH Yokohama Southern Market Seaside Plaza Special Ring,2023-09-17,AJPW Market de Pro Wrestling Yokohama Nanbu Market,Attendance not available.,https://www.cagematch.net/?id=1&nr=376142
45,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-09-14,AJPW Giant Series 2023 - Tag 4,320,https://www.cagematch.net/?id=1&nr=375817
46,All Japan Pro Wrestling,"Tokyo, Japan",Yoyogi National Gymnasium #2,2023-09-08,AJPW Giant Series 2023 - Tag 3,"1,675",https://www.cagematch.net/?id=1&nr=375412
47,All Japan Pro Wrestling,"Nagaoka, Niigata, Japan",Aore Nagaoka,2023-09-03,AJPW Giant Series 2023 - Tag 2,"1,560",https://www.cagematch.net/?id=1&nr=375019
48,All Japan Pro Wrestling,"Karuizawa, Nagano, Japan",Karuizawa Kazakoshi Park Gymnasium,2023-09-02,AJPW Giant Series 2023 - Tag 1,398,https://www.cagematch.net/?id=1&nr=374878
49,All Japan Pro Wrestling,"Imakane, Hokkaido, Japan",Imakane Town General Gymnasium,2023-10-31,AJPW Giant Series 2023 ~ Hokkaido Edition - Tag 1,618,https://www.cagematch.net/?id=1&nr=379019
50,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-10-21,AJPW Raising An Army Memorial Series 2023 - Tag 4,"1,340",https://www.cagematch.net/?id=1&nr=378374
51,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-10-12,AJPW Raising An Army Memorial Series 2023 - Tag 3,266,https://www.cagematch.net/?id=1&nr=377808
52,All Japan Pro Wrestling,"Kakuda, Miyagi, Japan",Kakuda City General Gymnasium,2023-10-09,AJPW Raising An Army Memorial Series 2023 - Tag 2,"1,687",https://www.cagematch.net/?id=1&nr=377605
53,All Japan Pro Wrestling,"Yamanobe, Yamagata, Japan",Spark Yamabe,2023-10-08,AJPW Raising An Army Memorial Series 2023 - Tag 1,333,https://www.cagematch.net/?id=1&nr=377547
54,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-10-05,AJPW New Chronicle-Z ~ Jump Over,332,https://www.cagematch.net/?id=1&nr=377355
55,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-11-29,AJPW Real World Tag League 2023 - Tag 7,"1,039",https://www.cagematch.net/?id=1&nr=381207
56,All Japan Pro Wrestling,"Fujisawa, Kanagawa, Japan",Shonan Fujisawa Market Special Ring,2023-11-26,AJPW Real World Tag League 2023 - Tag 6,815,https://www.cagematch.net/?id=1&nr=380860
57,All Japan Pro Wrestling,"Numazu, Shizuoka, Japan",Kira Messe Numazu,2023-11-23,AJPW Real World Tag League 2023 - Tag 5,590,https://www.cagematch.net/?id=1&nr=380659
58,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-11-21,AJPW Real World Tag League 2023 - Tag 4,335,https://www.cagematch.net/?id=1&nr=380429
